YYYY,MM,DD,Date,Time,Date_Davis,Time_Davis,Temp_Out,Hi_Temp,Low_Temp,Out_Hum,Dew_Pt.,Wind_Speed,Wind_Dir,Wind_Run,Hi_Speed,Hi_Dir,Wind_Cod_Dom,Wind_Chill,Heat_Index,THW_Index,THSW_Index,Bar  ,Rain,Rain_Rate,Solar_Rad.,Solar_Energy,Hi_Solar_Rad. ,UV_Index,UV_Dose,Hi_UV ,Heat_D-D ,Cool_D-D ,In_Temp,In_Hum,In_Dew,In_Heat,In_EMC,In_Air_Density,ET ,Soil_1_Moist.,Soil_2_Moist.,Leaf_Wet_1,Wind_Samp,Wind_Tx ,ISS_Recept,Arc._Int.
2010,5,26,26/05/2010,17:00,26/05/2010,17:00,8.1,8.3,8.1,82,5.2,1.8,SSE,1.61,4.0,SSE,7.2,8.1,7.1,6.7,1005.0,0.00,0.0,70,1.51,72,0.0,0.00,0.0,0.106,0.000,14.4,53,5.0,13.4,9.95,1.2075,0.08,---,---,---,127,1,37.1,15,
2010,5,26,26/05/2010,17:15,26/05/2010,17:15,7.6,8.1,7.6,85,5.2,2.2,SSE,2.01,5.4,SE,6.2,7.6,6.2,5.1,1004.5,0.00,0.0,41,0.88,69,0.0,0.00,0.0,0.112,0.000,13.4,52,3.7,12.4,9.83,1.2122,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,17:30,26/05/2010,17:30,7.3,7.6,7.3,84,4.8,2.2,SSE,2.01,10.3,SE,5.8,7.2,5.7,4.1,1004.7,0.40,2.2,17,0.37,19,0.0,0.00,0.0,0.115,0.000,12.6,52,3.0,11.7,9.84,1.2165,0.00,---,---,---,350,1,100.0,15,
2010,5,26,26/05/2010,17:45,26/05/2010,17:45,7.0,7.3,7.0,86,4.8,1.8,SE,1.61,4.9,SE,5.9,6.9,5.8,3.3,1005.2,0.00,0.0,21,0.45,23,0.0,0.00,0.0,0.118,0.000,12.2,52,2.6,11.3,9.83,1.2186,0.00,---,---,---,349,1,100.0,15,
2010,5,26,26/05/2010,18:00,26/05/2010,18:00,7.1,7.1,6.9,86,4.9,2.2,SSE,2.01,4.9,SE,5.6,7.0,5.5,2.8,1005.2,0.20,0.0,3,0.06,12,0.0,0.00,0.0,0.117,0.000,12.1,51,2.2,11.2,9.65,1.2197,0.03,---,---,---,328,1,95.9,15,
2010,5,26,26/05/2010,18:15,26/05/2010,18:15,7.2,7.2,7.1,88,5.4,2.7,SSE,2.41,4.5,SSE,5.4,7.2,5.4,2.7,1005.4,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.116,0.000,11.9,51,2.1,11.0,9.65,1.2207,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,18:30,26/05/2010,18:30,7.2,7.2,7.1,87,5.1,2.2,SSE,2.01,5.8,SE,5.7,7.2,5.7,2.9,1005.1,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.116,0.000,11.8,51,2.0,10.9,9.65,1.2209,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,18:45,26/05/2010,18:45,7.1,7.2,7.1,87,5.0,3.1,SSE,2.82,6.3,S,4.9,7.1,4.9,2.2,1005.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.117,0.000,11.8,51,2.0,10.9,9.65,1.2211,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,19:00,26/05/2010,19:00,7.0,7.1,7.0,87,5.0,2.7,SSE,2.41,6.7,SSE,5.1,7.0,5.1,2.3,1005.8,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.118,0.000,11.9,51,2.1,11.0,9.65,1.2213,0.03,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,19:15,26/05/2010,19:15,6.8,7.0,6.8,87,4.8,2.2,SE,2.01,4.0,SE,5.3,6.8,5.3,2.5,1006.0,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.120,0.000,11.9,51,2.1,11.1,9.65,1.2212,0.00,---,---,---,350,1,100.0,15,
2010,5,26,26/05/2010,19:30,26/05/2010,19:30,6.8,6.8,6.7,88,4.9,2.2,SE,2.01,4.5,SE,5.2,6.8,5.2,2.4,1006.5,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.120,0.000,11.9,51,2.1,11.1,9.65,1.2218,0.00,---,---,---,349,1,100.0,15,
2010,5,26,26/05/2010,19:45,26/05/2010,19:45,6.7,6.8,6.7,88,4.8,2.2,SSE,2.01,4.0,SSE,5.1,6.7,5.1,2.3,1006.4,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.122,0.000,11.9,51,2.1,11.0,9.65,1.2220,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,20:00,26/05/2010,20:00,6.6,6.7,6.6,87,4.6,2.2,SSE,2.01,4.9,SE,5.1,6.6,5.1,2.2,1006.8,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.122,0.000,11.8,51,2.0,10.9,9.65,1.2230,0.03,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,20:15,26/05/2010,20:15,6.5,6.6,6.5,87,4.5,1.8,SSE,1.61,4.9,ESE,5.3,6.5,5.3,2.5,1007.2,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.123,0.000,11.7,50,1.6,10.8,9.51,1.2239,0.00,---,---,---,351,1,100.0,15,
2010,5,26,26/05/2010,20:30,26/05/2010,20:30,6.5,6.6,6.5,89,4.8,1.8,SSE,1.61,4.0,ESE,5.3,6.5,5.3,2.5,1007.7,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.123,0.000,11.6,50,1.5,10.7,9.51,1.2251,0.00,---,---,---,350,1,100.0,15,
2010,5,26,26/05/2010,20:45,26/05/2010,20:45,6.6,6.7,6.5,88,4.7,2.2,SSE,2.01,4.9,SE,5.0,6.6,5.0,2.2,1007.9,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.123,0.000,11.6,50,1.5,10.7,9.51,1.2255,0.00,---,---,---,349,1,100.0,15,
2010,5,26,26/05/2010,21:00,26/05/2010,21:00,6.6,6.6,6.5,89,4.9,1.8,SSE,1.61,4.0,S,5.4,6.6,5.4,2.6,1008.4,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.123,0.000,11.5,50,1.4,10.6,9.50,1.2265,0.03,---,---,---,350,1,100.0,15,
